condition,layer,alpha,item,question,answer,extraversion_score,fluency_score
steered,12,-8.0,Are always busy,"You are at home after a long day, and as you look at your calendar you see that every evening this week is already filled with errands, social plans, and unfinished tasks from work. What would you do when you realize there is almost no empty time left for yourself in the coming days?",I would prioritize self-care and reassess my schedule to create space for rest.,0.16477382437455423,0.9941071271896362
steered,12,-8.0,Are always on the go,"You agree with a friend to help clean out a storage unit on Saturday morning, but when the day comes you feel restless, keep jumping between errands, and realize you’re running late and still haven’t shown up. What do you do in this situation?",I would apologize and explain my situation to my friend.,0.6056334093629352,0.9946160912513733
steered,12,-8.0,Avoid contacts with others,You are at a social gathering where small groups are chatting closely and several people keep trying to draw you into conversations and activities. What would you do in this situation?,I would politely decline and find a quiet place to read or reflect.,0.025476455830948954,0.9925926327705383
steered,12,-8.0,Avoid crowds,"You arrive at a popular outdoor event and, as the main activity is about to start, you suddenly find yourself in the middle of a tightly packed crowd with people pressing in on all sides. What would you do in this situation?",I would stay calm and move slowly to find an exit.,0.17098040140302542,0.9962301850318909
steered,12,-8.0,Do a lot in your spare time,"It’s a Saturday afternoon, your work and chores are done, and you notice there’s a free outdoor concert in the park, a new exhibit at a nearby museum, and a friend has just texted inviting you to join a pickup game at the local sports field. What do you do with the rest of your day?",I would go to the concert.,0.5266787302383431,0.9941060543060303
steered,12,-8.0,Enjoy being reckless,"You and a few friends are out late in the city, and someone suggests doing something wild and risky on the spot, like climbing a closed-off structure or sneaking into a restricted area just for the thrill of it. What would you do in that moment?",I would decline and suggest a safer alternative.,0.09399217740790593,0.9809550642967224
steered,12,-8.0,Feel comfortable around other people,"You arrive at a casual get-together where most people seem to know each other and share similar backgrounds and interests, but you quickly notice that your own background and interests are quite different from everyone else’s. What do you do in this situation?",I would engage in conversations with openness and curiosity to learn from others.,0.8860597490469223,0.9907428622245789
steered,12,-8.0,Have a lot of fun,"You are spending a free afternoon at home, and after checking your messages, the weather, and your to‑do list, you realize there isn’t really anything urgent or exciting that needs your attention. What would you do with the rest of your day?",I would relax and enjoy a quiet afternoon with a good book.,0.1564488740246001,0.9950380921363831
steered,12,-8.0,Keep others at a distance,"You are helping a group of colleagues wrap up a meeting so everyone can leave the office on time, and people start chatting and trying to linger around your desk as they get ready to go. How do you handle getting everyone out on time while deciding how much to interact with them as they gather around you?",I would politely remind everyone it's time to leave while offering brief assistance if needed.,0.5152758537905503,0.9148253202438354
steered,12,-8.0,Like to take it easy,"You are at home after a long day when a complicated and emotionally charged issue comes to mind, and you realize you could either sit down and really think it through now or just set it aside and relax with something enjoyable. What would you do in that moment?",I would sit down and really think it through.,0.14332622512106744,0.9928299784660339
steered,12,-8.0,Look at the bright side of life,"You are sitting in a room on a difficult day, and you notice a warm beam of sunlight coming in through the window and lighting up the space around you. What goes through your mind and what do you do next?",I would take a moment to appreciate the light and feel a sense of calm.,0.32795845565271053,0.9880188703536987
steered,12,-8.0,Love excitement,"You are at a crowded outdoor festival in the evening, with music playing loudly and lights flashing, and you suddenly feel a strong urge to tell someone you care about that you’re in love with them right then and there in front of everyone. What would you do in that moment?",I would find a quiet moment to share my feelings privately.,0.057008019712111196,0.9916131496429443
steered,12,-8.0,Love large parties,"You are invited to a big weekend party in a rented hall where you know there will be loud music, lots of people you don’t know yet, and several different activities going on at the same time. What would you do once you arrive at this party?",I would explore the different activities and mingle with new people.,0.9054886406775878,0.9963567852973938
steered,12,-8.0,Love life,"You are going through a stretch where many things seem to go wrong at once—plans fall through, work is stressful, and small daily hassles keep piling up—yet you still have your usual free time on evenings and weekends. What would you do during this period to relate to your life and your days?","I would focus on small, consistent self-care practices to maintain balance and clarity.",0.16745692788105754,0.9944578409194946
steered,12,-8.0,Make friends easily,"You join a new online community centered around one of your interests, and soon after you post an introduction, several members start commenting and one of them sends you a friend request with a short friendly message. How do you respond and what do you do next?",I would accept the friend request and respond with a friendly acknowledgment.,0.7693458148113079,0.9937764406204224
steered,12,-8.0,Prefer to be alone,"You arrive at a weekend gathering where most people you know are excitedly planning to go together to a loud, crowded event later that night, but you notice there is also the option to spend the evening quietly on your own in a nearby park or café. What would you do?",I would spend the evening quietly on my own in a nearby park or café.,0.04715541478582709,0.9934758543968201
steered,12,-8.0,Radiate joy,"You are spending a weekend afternoon with friends or family, and you notice there are many small, happy moments happening around you, like shared jokes, smiles, and relaxed conversations. What do you do in that situation?",I would savor the moments and enjoy the company.,0.7992100901354218,0.9949754476547241
steered,12,-8.0,Seek adventure,"You are playing a challenging game and you’ve just unlocked a mysterious new level filled with unfamiliar paths, hidden areas, and tougher obstacles than you’ve seen before. What do you do next?",I would explore the new level carefully to discover its secrets and prepare for the challenges ahead.,0.5310010400479606,0.9947792291641235
steered,12,-8.0,Take charge,"You are driving on a busy highway with a few friends in the car, and traffic suddenly starts moving faster as you approach a complicated interchange with several lane changes coming up. What do you do next?",I would check the traffic signs and prepare to change lanes as needed.,0.5459047570292043,0.9952719807624817
steered,12,-8.0,Take control of things,"You are in a community meeting where an important decision needs to be made, and everyone agrees that another person has been chosen to lead the discussion and make the final call. What would you do in this situation?",I would support the chosen leader and contribute constructively to the discussion.,0.7687922546011229,0.9921737909317017
steered,12,-8.0,Talk to a lot of different people at parties,"At a crowded evening gathering at a friend’s apartment, you notice people clustered in small groups around the living room, kitchen, and balcony, all chatting about different topics. What would you do over the next hour in terms of who you talk to and how you move around the party?",I would move between groups to engage in conversations and observe the different topics being discussed.,0.6783230625606828,0.9947664737701416
steered,12,-8.0,Try to lead others,"You are working with a small group on an important project, and you notice that the discussion is going in circles and no one is clearly guiding the next steps. What would you do?",I would suggest outlining the next steps and assigning responsibilities to move the project forward.,0.5367310993132525,0.9922921061515808
steered,12,-8.0,Wait for others to lead the way,"You are sitting in your car in heavy traffic on a busy city street, and after several light cycles you notice that none of the cars in your lane are moving forward even when the light turns green. What do you do next?",I would check if the traffic light is functioning properly or if there is an accident ahead.,0.61005121451225,0.9780267477035522
steered,12,-4.0,Act wild and crazy,"You are at a crowded party where the music is loud, people are dancing on tables, and your friends are egging you on to do something outrageous and unexpected in the middle of the room. What would you do?",I would politely decline and step back to the edge of the room.,0.05277171715253764,0.9934161901473999
steered,12,-4.0,Are always busy,"You are at home after a long day, and as you look at your calendar you see that every evening this week is already filled with errands, social plans, and unfinished tasks from work. What would you do when you realize there is almost no empty time left for yourself in the coming days?",I would prioritize self-care by scheduling a short break each day.,0.16314814974015224,0.9958551526069641
steered,12,-4.0,Are always on the go,"You agree with a friend to help clean out a storage unit on Saturday morning, but when the day comes you feel restless, keep jumping between errands, and realize you’re running late and still haven’t shown up. What do you do in this situation?","I would apologize and explain my situation, then make an effort to arrive as soon as possible.",0.5514351617354464,0.9936580061912537
steered,12,-4.0,Avoid contacts with others,You are at a social gathering where small groups are chatting closely and several people keep trying to draw you into conversations and activities. What would you do in this situation?,I would politely engage with a few people while maintaining my own space and boundaries.,0.20971786726644512,0.9949980974197388
steered,12,-4.0,Avoid crowds,"You arrive at a popular outdoor event and, as the main activity is about to start, you suddenly find yourself in the middle of a tightly packed crowd with people pressing in on all sides. What would you do in this situation?",I would stay calm and move slowly to find an exit.,0.17098040140302542,0.9962301850318909
steered,12,-4.0,Do a lot in your spare time,"It’s a Saturday afternoon, your work and chores are done, and you notice there’s a free outdoor concert in the park, a new exhibit at a nearby museum, and a friend has just texted inviting you to join a pickup game at the local sports field. What do you do with the rest of your day?",I would go to the concert.,0.5266787302383431,0.9941060543060303
steered,12,-4.0,Enjoy being reckless,"You and a few friends are out late in the city, and someone suggests doing something wild and risky on the spot, like climbing a closed-off structure or sneaking into a restricted area just for the thrill of it. What would you do in that moment?",I would decline and suggest a safer alternative.,0.09399217740790593,0.9809550642967224
steered,12,-4.0,Feel comfortable around other people,"You arrive at a casual get-together where most people seem to know each other and share similar backgrounds and interests, but you quickly notice that your own background and interests are quite different from everyone else’s. What do you do in this situation?",I would engage in conversations with openness and curiosity to learn from others' perspectives.,0.8526537784515483,0.9925823211669922
steered,12,-4.0,Have a lot of fun,"You are spending a free afternoon at home, and after checking your messages, the weather, and your to‑do list, you realize there isn’t really anything urgent or exciting that needs your attention. What would you do with the rest of your day?",I would relax and enjoy a quiet afternoon with a good book.,0.1564488740246001,0.9950380921363831
steered,12,-4.0,Keep others at a distance,"You are helping a group of colleagues wrap up a meeting so everyone can leave the office on time, and people start chatting and trying to linger around your desk as they get ready to go. How do you handle getting everyone out on time while deciding how much to interact with them as they gather around you?",I would politely remind everyone of the time and offer brief assistance while encouraging them to leave promptly.,0.5676310937711666,0.9545425772666931
steered,12,-4.0,Like to take it easy,"You are at home after a long day when a complicated and emotionally charged issue comes to mind, and you realize you could either sit down and really think it through now or just set it aside and relax with something enjoyable. What would you do in that moment?",I would sit down and really think it through.,0.14332622512106744,0.9928299784660339
steered,12,-4.0,Look at the bright side of life,"You are sitting in a room on a difficult day, and you notice a warm beam of sunlight coming in through the window and lighting up the space around you. What goes through your mind and what do you do next?",I would take a moment to appreciate the light and feel a sense of calm.,0.32795845565271053,0.9880188703536987
steered,12,-4.0,Love excitement,"You are at a crowded outdoor festival in the evening, with music playing loudly and lights flashing, and you suddenly feel a strong urge to tell someone you care about that you’re in love with them right then and there in front of everyone. What would you do in that moment?",I would find a quiet moment to share my feelings privately.,0.057008019712111196,0.9916131496429443
steered,12,-4.0,Love large parties,"You are invited to a big weekend party in a rented hall where you know there will be loud music, lots of people you don’t know yet, and several different activities going on at the same time. What would you do once you arrive at this party?",I would explore the different activities and mingle with new people.,0.9054886406775878,0.9963567852973938
steered,12,-4.0,Love life,"You are going through a stretch where many things seem to go wrong at once—plans fall through, work is stressful, and small daily hassles keep piling up—yet you still have your usual free time on evenings and weekends. What would you do during this period to relate to your life and your days?","I would focus on small, consistent self-care rituals to maintain balance and clarity.",0.18375391297179186,0.9946104288101196
steered,12,-4.0,Make friends easily,"You join a new online community centered around one of your interests, and soon after you post an introduction, several members start commenting and one of them sends you a friend request with a short friendly message. How do you respond and what do you do next?",I would accept the friend request and respond with a friendly acknowledgment.,0.7693458148113079,0.9937764406204224
steered,12,-4.0,Prefer to be alone,"You arrive at a weekend gathering where most people you know are excitedly planning to go together to a loud, crowded event later that night, but you notice there is also the option to spend the evening quietly on your own in a nearby park or café. What would you do?",I would spend the evening quietly on my own in a nearby park or café.,0.04715541478582709,0.9934758543968201
steered,12,-4.0,Radiate joy,"You are spending a weekend afternoon with friends or family, and you notice there are many small, happy moments happening around you, like shared jokes, smiles, and relaxed conversations. What do you do in that situation?",I would savor the moments and enjoy the company.,0.7992100901354218,0.9949754476547241
steered,12,-4.0,Seek adventure,"You are playing a challenging game and you’ve just unlocked a mysterious new level filled with unfamiliar paths, hidden areas, and tougher obstacles than you’ve seen before. What do you do next?",I would explore the new level carefully to discover its secrets and prepare for the challenges ahead.,0.5310010400479606,0.9947792291641235
steered,12,-4.0,Take charge,"You are driving on a busy highway with a few friends in the car, and traffic suddenly starts moving faster as you approach a complicated interchange with several lane changes coming up. What do you do next?",I would check the traffic conditions and prepare to change lanes if necessary.,0.4843824966258622,0.9949133396148682
steered,12,-4.0,Take control of things,"You are in a community meeting where an important decision needs to be made, and everyone agrees that another person has been chosen to lead the discussion and make the final call. What would you do in this situation?",I would support the chosen leader and contribute constructively to the discussion.,0.7687922546011229,0.9921737909317017
steered,12,-4.0,Talk to a lot of different people at parties,"At a crowded evening gathering at a friend’s apartment, you notice people clustered in small groups around the living room, kitchen, and balcony, all chatting about different topics. What would you do over the next hour in terms of who you talk to and how you move around the party?",I would move between groups to engage in conversations and observe the different topics being discussed.,0.6783230625606828,0.9947664737701416
steered,12,-4.0,Try to lead others,"You are working with a small group on an important project, and you notice that the discussion is going in circles and no one is clearly guiding the next steps. What would you do?",I would suggest outlining clear next steps and assigning responsibilities to move the project forward.,0.5329841864497391,0.9930631518363953
steered,12,-4.0,Wait for others to lead the way,"You are sitting in your car in heavy traffic on a busy city street, and after several light cycles you notice that none of the cars in your lane are moving forward even when the light turns green. What do you do next?",I would check if the traffic light is functioning properly or if there is an accident ahead.,0.61005121451225,0.9780267477035522
steered,12,4.0,Act wild and crazy,"You are at a crowded party where the music is loud, people are dancing on tables, and your friends are egging you on to do something outrageous and unexpected in the middle of the room. What would you do?",I would politely decline and excuse myself to the bathroom.,0.12663923446648334,0.9909392595291138
steered,12,4.0,Are always busy,"You are at home after a long day, and as you look at your calendar you see that every evening this week is already filled with errands, social plans, and unfinished tasks from work. What would you do when you realize there is almost no empty time left for yourself in the coming days?","I would prioritize self-care by scheduling short, intentional breaks for rest and reflection.",0.1691459184386958,0.9948487281799316
steered,12,4.0,Are always on the go,"You agree with a friend to help clean out a storage unit on Saturday morning, but when the day comes you feel restless, keep jumping between errands, and realize you’re running late and still haven’t shown up. What do you do in this situation?","I would apologize and explain my situation, then make an effort to arrive as soon as possible.",0.5514351617354464,0.9936580061912537
steered,12,4.0,Avoid contacts with others,You are at a social gathering where small groups are chatting closely and several people keep trying to draw you into conversations and activities. What would you do in this situation?,I would politely engage with a few people while maintaining my own space and boundaries.,0.20971786726644512,0.9949980974197388
steered,12,4.0,Avoid crowds,"You arrive at a popular outdoor event and, as the main activity is about to start, you suddenly find yourself in the middle of a tightly packed crowd with people pressing in on all sides. What would you do in this situation?",I would stay calm and move slowly with the crowd to avoid being pushed.,0.16918609150113198,0.9946866035461426
steered,12,4.0,Do a lot in your spare time,"It’s a Saturday afternoon, your work and chores are done, and you notice there’s a free outdoor concert in the park, a new exhibit at a nearby museum, and a friend has just texted inviting you to join a pickup game at the local sports field. What do you do with the rest of your day?",I would go to the concert.,0.5266787302383431,0.9941060543060303
steered,12,4.0,Enjoy being reckless,"You and a few friends are out late in the city, and someone suggests doing something wild and risky on the spot, like climbing a closed-off structure or sneaking into a restricted area just for the thrill of it. What would you do in that moment?",I would decline the suggestion and suggest a safer alternative.,0.07807303426104316,0.9895310401916504
steered,12,4.0,Feel comfortable around other people,"You arrive at a casual get-together where most people seem to know each other and share similar backgrounds and interests, but you quickly notice that your own background and interests are quite different from everyone else’s. What do you do in this situation?","I would engage in conversations with openness and curiosity, seeking to learn from others while sharing my own perspective.",0.8649160748628925,0.9945477843284607
steered,12,4.0,Have a lot of fun,"You are spending a free afternoon at home, and after checking your messages, the weather, and your to‑do list, you realize there isn’t really anything urgent or exciting that needs your attention. What would you do with the rest of your day?",I would relax by reading a book.,0.1891285644369156,0.9943863153457642
steered,12,4.0,Keep others at a distance,"You are helping a group of colleagues wrap up a meeting so everyone can leave the office on time, and people start chatting and trying to linger around your desk as they get ready to go. How do you handle getting everyone out on time while deciding how much to interact with them as they gather around you?",I would politely remind everyone of the time and offer brief assistance while encouraging them to wrap up quickly.,0.6746668682805693,0.9648088812828064
steered,12,4.0,Like to take it easy,"You are at home after a long day when a complicated and emotionally charged issue comes to mind, and you realize you could either sit down and really think it through now or just set it aside and relax with something enjoyable. What would you do in that moment?",I would sit down and really think it through.,0.14332622512106744,0.9928299784660339
steered,12,4.0,Look at the bright side of life,"You are sitting in a room on a difficult day, and you notice a warm beam of sunlight coming in through the window and lighting up the space around you. What goes through your mind and what do you do next?",I would take a moment to appreciate the light and feel a sense of calm.,0.32795845565271053,0.9880188703536987
steered,12,4.0,Love excitement,"You are at a crowded outdoor festival in the evening, with music playing loudly and lights flashing, and you suddenly feel a strong urge to tell someone you care about that you’re in love with them right then and there in front of everyone. What would you do in that moment?",I would find a quiet moment to share my feelings privately.,0.057008019712111196,0.9916131496429443
steered,12,4.0,Love large parties,"You are invited to a big weekend party in a rented hall where you know there will be loud music, lots of people you don’t know yet, and several different activities going on at the same time. What would you do once you arrive at this party?",I would explore the different activities and mingle with new people.,0.9054886406775878,0.9963567852973938
steered,12,4.0,Love life,"You are going through a stretch where many things seem to go wrong at once—plans fall through, work is stressful, and small daily hassles keep piling up—yet you still have your usual free time on evenings and weekends. What would you do during this period to relate to your life and your days?","I would focus on small, meaningful activities to find balance and clarity amidst the chaos.",0.28269099339454373,0.9959136843681335
steered,12,4.0,Make friends easily,"You join a new online community centered around one of your interests, and soon after you post an introduction, several members start commenting and one of them sends you a friend request with a short friendly message. How do you respond and what do you do next?",I would accept the friend request and respond with a friendly acknowledgment.,0.7693458148113079,0.9937764406204224
steered,12,4.0,Prefer to be alone,"You arrive at a weekend gathering where most people you know are excitedly planning to go together to a loud, crowded event later that night, but you notice there is also the option to spend the evening quietly on your own in a nearby park or café. What would you do?",I would spend the evening quietly on my own in a nearby park or café.,0.04753168278701322,0.9934758543968201
steered,12,4.0,Radiate joy,"You are spending a weekend afternoon with friends or family, and you notice there are many small, happy moments happening around you, like shared jokes, smiles, and relaxed conversations. What do you do in that situation?","I would savor the moments by laughing, listening, and fully engaging with those around me.",0.9308920676895536,0.9939312934875488
steered,12,4.0,Seek adventure,"You are playing a challenging game and you’ve just unlocked a mysterious new level filled with unfamiliar paths, hidden areas, and tougher obstacles than you’ve seen before. What do you do next?",I would explore the new level carefully to uncover its secrets and navigate its challenges.,0.6111518098167978,0.9942512512207031
steered,12,4.0,Take charge,"You are driving on a busy highway with a few friends in the car, and traffic suddenly starts moving faster as you approach a complicated interchange with several lane changes coming up. What do you do next?",I would check the traffic conditions and prepare to change lanes if necessary.,0.48424222403480044,0.9949133396148682
steered,12,4.0,Take control of things,"You are in a community meeting where an important decision needs to be made, and everyone agrees that another person has been chosen to lead the discussion and make the final call. What would you do in this situation?",I would support the chosen leader and contribute constructively to the discussion.,0.7706656580993101,0.9921737909317017
steered,12,4.0,Talk to a lot of different people at parties,"At a crowded evening gathering at a friend’s apartment, you notice people clustered in small groups around the living room, kitchen, and balcony, all chatting about different topics. What would you do over the next hour in terms of who you talk to and how you move around the party?","I would move between groups, engaging in brief conversations before moving on to keep the social interaction dynamic.",0.8369431924172477,0.9772124886512756
steered,12,4.0,Try to lead others,"You are working with a small group on an important project, and you notice that the discussion is going in circles and no one is clearly guiding the next steps. What would you do?",I would suggest setting clear next steps and assigning responsibilities to move the project forward.,0.5246587189438899,0.9932880997657776
steered,12,4.0,Wait for others to lead the way,"You are sitting in your car in heavy traffic on a busy city street, and after several light cycles you notice that none of the cars in your lane are moving forward even when the light turns green. What do you do next?",I would check if the traffic light is functioning properly.,0.5675131478157245,0.9939348101615906
steered,12,8.0,Act wild and crazy,"You are at a crowded party where the music is loud, people are dancing on tables, and your friends are egging you on to do something outrageous and unexpected in the middle of the room. What would you do?",I would politely decline and suggest a quieter activity.,0.08449285980113057,0.9880868196487427
steered,12,8.0,Are always busy,"You are at home after a long day, and as you look at your calendar you see that every evening this week is already filled with errands, social plans, and unfinished tasks from work. What would you do when you realize there is almost no empty time left for yourself in the coming days?","I would prioritize self-care by scheduling short, intentional breaks for rest and reflection.",0.1677793327150413,0.9948487281799316
steered,12,8.0,Are always on the go,"You agree with a friend to help clean out a storage unit on Saturday morning, but when the day comes you feel restless, keep jumping between errands, and realize you’re running late and still haven’t shown up. What do you do in this situation?","I would apologize and explain my situation, then make an effort to arrive as soon as possible.",0.5505517769131548,0.9936580061912537
steered,12,8.0,Avoid contacts with others,You are at a social gathering where small groups are chatting closely and several people keep trying to draw you into conversations and activities. What would you do in this situation?,I would politely engage with a few people while maintaining my own space and boundaries.,0.20848247327625333,0.9949980974197388
steered,12,8.0,Avoid crowds,"You arrive at a popular outdoor event and, as the main activity is about to start, you suddenly find yourself in the middle of a tightly packed crowd with people pressing in on all sides. What would you do in this situation?",I would stay calm and move slowly with the crowd to avoid being pushed.,0.16659809613250445,0.9946866035461426
steered,12,8.0,Do a lot in your spare time,"It’s a Saturday afternoon, your work and chores are done, and you notice there’s a free outdoor concert in the park, a new exhibit at a nearby museum, and a friend has just texted inviting you to join a pickup game at the local sports field. What do you do with the rest of your day?","I would go to the concert first, then visit the museum, and finally join the pickup game.",0.5219837313240868,0.9949941039085388
steered,12,8.0,Enjoy being reckless,"You and a few friends are out late in the city, and someone suggests doing something wild and risky on the spot, like climbing a closed-off structure or sneaking into a restricted area just for the thrill of it. What would you do in that moment?","I would decline the suggestion and suggest a safer, more responsible activity instead.",0.17516499419285841,0.9909896850585938
steered,12,8.0,Feel comfortable around other people,"You arrive at a casual get-together where most people seem to know each other and share similar backgrounds and interests, but you quickly notice that your own background and interests are quite different from everyone else’s. What do you do in this situation?","I would engage in conversations with openness and curiosity, seeking to learn from others while sharing my unique perspective.",0.8645992433236137,0.9942941069602966
steered,12,8.0,Have a lot of fun,"You are spending a free afternoon at home, and after checking your messages, the weather, and your to‑do list, you realize there isn’t really anything urgent or exciting that needs your attention. What would you do with the rest of your day?",I would relax by reading a book.,0.18691001251547004,0.9943863153457642
steered,12,8.0,Keep others at a distance,"You are helping a group of colleagues wrap up a meeting so everyone can leave the office on time, and people start chatting and trying to linger around your desk as they get ready to go. How do you handle getting everyone out on time while deciding how much to interact with them as they gather around you?",I would politely remind everyone of the time and offer brief assistance while keeping the conversation focused and efficient.,0.6030298347843777,0.9814963936805725
steered,12,8.0,Like to take it easy,"You are at home after a long day when a complicated and emotionally charged issue comes to mind, and you realize you could either sit down and really think it through now or just set it aside and relax with something enjoyable. What would you do in that moment?",I would sit down and really think it through.,0.14410207924686447,0.9928299784660339
steered,12,8.0,Look at the bright side of life,"You are sitting in a room on a difficult day, and you notice a warm beam of sunlight coming in through the window and lighting up the space around you. What goes through your mind and what do you do next?","I would take a moment to appreciate the warmth and light, then perhaps stretch or take a deep breath to feel more grounded.",0.5281992754550501,0.9897578954696655
steered,12,8.0,Love excitement,"You are at a crowded outdoor festival in the evening, with music playing loudly and lights flashing, and you suddenly feel a strong urge to tell someone you care about that you’re in love with them right then and there in front of everyone. What would you do in that moment?",I would find a quiet moment to share my feelings privately.,0.05855242113697414,0.9916131496429443
steered,12,8.0,Love large parties,"You are invited to a big weekend party in a rented hall where you know there will be loud music, lots of people you don’t know yet, and several different activities going on at the same time. What would you do once you arrive at this party?",I would explore the different activities and mingle with new people.,0.9066506182195765,0.9963567852973938
steered,12,8.0,Love life,"You are going through a stretch where many things seem to go wrong at once—plans fall through, work is stressful, and small daily hassles keep piling up—yet you still have your usual free time on evenings and weekends. What would you do during this period to relate to your life and your days?","I would focus on small, meaningful activities to find balance and purpose despite the challenges.",0.43130541663215477,0.9932461977005005
steered,12,8.0,Make friends easily,"You join a new online community centered around one of your interests, and soon after you post an introduction, several members start commenting and one of them sends you a friend request with a short friendly message. How do you respond and what do you do next?",I would accept the friend request and respond with a friendly acknowledgment.,0.7661527451348032,0.9937764406204224
steered,12,8.0,Prefer to be alone,"You arrive at a weekend gathering where most people you know are excitedly planning to go together to a loud, crowded event later that night, but you notice there is also the option to spend the evening quietly on your own in a nearby park or café. What would you do?",I would spend the evening quietly on my own in a nearby park.,0.029292082318045778,0.9936208128929138
steered,12,8.0,Radiate joy,"You are spending a weekend afternoon with friends or family, and you notice there are many small, happy moments happening around you, like shared jokes, smiles, and relaxed conversations. What do you do in that situation?","I would savor the moments by laughing, engaging in conversation, and being fully present with those I care about.",0.9272526191693025,0.9931145310401917
steered,12,8.0,Seek adventure,"You are playing a challenging game and you’ve just unlocked a mysterious new level filled with unfamiliar paths, hidden areas, and tougher obstacles than you’ve seen before. What do you do next?",I would explore the new level carefully to uncover its secrets and navigate its challenges.,0.6111518098167978,0.9942512512207031
steered,12,8.0,Take charge,"You are driving on a busy highway with a few friends in the car, and traffic suddenly starts moving faster as you approach a complicated interchange with several lane changes coming up. What do you do next?",I would check the traffic conditions and prepare to adjust my lane as needed.,0.38825416977538646,0.9921367168426514
steered,12,8.0,Take control of things,"You are in a community meeting where an important decision needs to be made, and everyone agrees that another person has been chosen to lead the discussion and make the final call. What would you do in this situation?",I would support the chosen leader and contribute constructively to the discussion.,0.7706656580993101,0.9921737909317017
steered,12,8.0,Talk to a lot of different people at parties,"At a crowded evening gathering at a friend’s apartment, you notice people clustered in small groups around the living room, kitchen, and balcony, all chatting about different topics. What would you do over the next hour in terms of who you talk to and how you move around the party?","I would move between groups, engaging in brief conversations before moving on to keep the social flow dynamic.",0.820343281997579,0.9869827032089233
steered,12,8.0,Try to lead others,"You are working with a small group on an important project, and you notice that the discussion is going in circles and no one is clearly guiding the next steps. What would you do?",I would suggest setting clear next steps and assigning responsibilities to move the project forward.,0.5246587189438899,0.9932880997657776
steered,12,8.0,Wait for others to lead the way,"You are sitting in your car in heavy traffic on a busy city street, and after several light cycles you notice that none of the cars in your lane are moving forward even when the light turns green. What do you do next?",I would check if the traffic light is functioning properly.,0.5675131478157245,0.9939348101615906
steered,12,12.0,Act wild and crazy,"You are at a crowded party where the music is loud, people are dancing on tables, and your friends are egging you on to do something outrageous and unexpected in the middle of the room. What would you do?",I would politely decline and suggest a quieter activity.,0.08449285980113057,0.9880868196487427
steered,12,12.0,Are always busy,"You are at home after a long day, and as you look at your calendar you see that every evening this week is already filled with errands, social plans, and unfinished tasks from work. What would you do when you realize there is almost no empty time left for yourself in the coming days?","I would prioritize self-care by scheduling short, intentional breaks for rest and reflection.",0.1677793327150413,0.9948487281799316
steered,12,12.0,Are always on the go,"You agree with a friend to help clean out a storage unit on Saturday morning, but when the day comes you feel restless, keep jumping between errands, and realize you’re running late and still haven’t shown up. What do you do in this situation?","I would apologize and explain my situation, then make it up by helping later.",0.5857498141799807,0.964108943939209
steered,12,12.0,Avoid contacts with others,You are at a social gathering where small groups are chatting closely and several people keep trying to draw you into conversations and activities. What would you do in this situation?,I would politely engage with a few people while maintaining my own space and boundaries.,0.20848247327625333,0.9949980974197388
steered,12,12.0,Avoid crowds,"You arrive at a popular outdoor event and, as the main activity is about to start, you suddenly find yourself in the middle of a tightly packed crowd with people pressing in on all sides. What would you do in this situation?",I would stay calm and move slowly with the crowd to avoid being pushed.,0.16659809613250445,0.9946866035461426
steered,12,12.0,Do a lot in your spare time,"It’s a Saturday afternoon, your work and chores are done, and you notice there’s a free outdoor concert in the park, a new exhibit at a nearby museum, and a friend has just texted inviting you to join a pickup game at the local sports field. What do you do with the rest of your day?","I would go to the concert first, then visit the museum, and finally join the pickup game.",0.5219837313240868,0.9949941039085388
steered,12,12.0,Enjoy being reckless,"You and a few friends are out late in the city, and someone suggests doing something wild and risky on the spot, like climbing a closed-off structure or sneaking into a restricted area just for the thrill of it. What would you do in that moment?",I would politely decline and suggest a safer alternative.,0.11772652415079551,0.9894562363624573
steered,12,12.0,Feel comfortable around other people,"You arrive at a casual get-together where most people seem to know each other and share similar backgrounds and interests, but you quickly notice that your own background and interests are quite different from everyone else’s. What do you do in this situation?","I would engage in conversations with openness and curiosity, seeking to learn from others while sharing my unique perspective.",0.8645992433236137,0.9942941069602966
steered,12,12.0,Have a lot of fun,"You are spending a free afternoon at home, and after checking your messages, the weather, and your to‑do list, you realize there isn’t really anything urgent or exciting that needs your attention. What would you do with the rest of your day?",I would relax by reading a book.,0.18691001251547004,0.9943863153457642
steered,12,12.0,Keep others at a distance,"You are helping a group of colleagues wrap up a meeting so everyone can leave the office on time, and people start chatting and trying to linger around your desk as they get ready to go. How do you handle getting everyone out on time while deciding how much to interact with them as they gather around you?",I would politely remind everyone of the time and offer brief assistance while keeping the conversation focused and efficient.,0.6030298347843777,0.9814963936805725
steered,12,12.0,Like to take it easy,"You are at home after a long day when a complicated and emotionally charged issue comes to mind, and you realize you could either sit down and really think it through now or just set it aside and relax with something enjoyable. What would you do in that moment?",I would sit down and really think it through.,0.14410207924686447,0.9928299784660339
steered,12,12.0,Look at the bright side of life,"You are sitting in a room on a difficult day, and you notice a warm beam of sunlight coming in through the window and lighting up the space around you. What goes through your mind and what do you do next?",I would feel a moment of calm and take a deep breath.,0.33369476955361355,0.9910829067230225
